Text,bundles,n_bundles
#продаю в тбилиси focusrite scatlett 2i2. полностью рабочая. 190₾,"[{""Title"": ""focusrite scatlett 2i2"", ""Price"": ""190"", ""Currency"": ""\u20be"", ""Count"": ""1""}]",1
"здравствуйте продам набор для наращивания ресниц новый 
10 планшеток ресниц разные 
2 пинцета , микробраш, щетки, лента , камень для клея, дезинфекция,ремувер, праймер,клей,гидропатчи все за 100евро","[{""Title"": ""\u041d\u0430\u0431\u043e\u0440 \u0434\u043b\u044f \u043d\u0430\u0440\u0430\u0449\u0438\u0432\u0430\u043d\u0438\u044f \u0440\u0435\u0441\u043d\u0438\u0446"", ""Price"": ""100"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"продаю оригинальные мужские кожаные ремни:

1. lagerfeld, длина 95, цвет темно-синий (ocean), натуральная телячья кожа, сделан в австрии,  куплен в германии. состояние идеальное, абсолютно новый, бирка не снята. в комплекте - фирменный мешочек для хранения. цена - 100 лари.

2. gardeur, длина 95, цвет черный, натуральная кожа, абсолютно новый, был куплен в германии. цена - 60 лари.

район ваке, рядом с парком.","[{""Title"": ""\u043c\u0443\u0436\u0441\u043a\u043e\u0439 \u043a\u043e\u0436\u0430\u043d\u044b\u0439 \u0440\u0435\u043c\u0435\u043d\u044c Gardeur"", ""Price"": ""60"", ""Currency"": ""GEL"", ""Count"": ""1""}, {""Title"": ""\u043c\u0443\u0436\u0441\u043a\u043e\u0439 \u043a\u043e\u0436\u0430\u043d\u044b\u0439 \u0440\u0435\u043c\u0435\u043d\u044c Lagerfeld"", ""Price"": ""100"", ""Currency"": ""GEL"", ""Count"": ""1""}]",2
"Продаю билет на аэроэкспресс, срок действия до 02.05.2023
Покупала за 450р, продаю за 400р

Пишите в лс, кого заинтересовало","[{""Title"": ""\u0411\u0438\u043b\u0435\u0442 \u043d\u0430 \u0430\u044d\u0440\u043e\u044d\u043a\u0441\u043f\u0440\u0435\u0441\u0441"", ""Price"": ""400"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
масло для тела с алоэ. новое. 2€ бутылочка. подходит отлично для массажа. лимассол,"[{""Title"": ""\u043c\u0430\u0441\u043b\u043e \u0434\u043b\u044f \u0442\u0435\u043b\u0430 \u0441 \u0430\u043b\u043e\u044d"", ""Price"": ""2"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"Здравствуйте!
Продаю Лоферы размер 38, 39 новые 1200₽.
Платье Zara размер XS, одевала пару раз 1000₽
Сумка новая 900₽","[{""Title"": ""\u0421\u0443\u043c\u043a\u0430"", ""Price"": ""900"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041b\u043e\u0444\u0435\u0440\u044b \u0440\u0430\u0437\u043c\u0435\u0440 39"", ""Price"": ""1200"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041b\u043e\u0444\u0435\u0440\u044b \u0440\u0430\u0437\u043c\u0435\u0440 38"", ""Price"": ""1200"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041f\u043b\u0430\u0442\u044c\u0435 Zara \u0440\u0430\u0437\u043c\u0435\u0440 XS"", ""Price"": ""1000"", ""Currency"": ""RUB"", ""Count"": ""1""}]",4
"1)боди guess
в идеале
размер м(отлично и на s)
цена 100 лари
2)сапожки на цигейке
в идеале.
размер 39,но подойдут на 37,5-38
цена 60 лари 
3)пиджак zara
размер s
новый
цена 170 лари
4)massimo dutti 
штаны
размер 38
новые.текущая коллекция 
цена 170 лари
5","[{""Title"": ""\u0448\u0442\u0430\u043d\u044b Massimo Dutti \u0440\u0430\u0437\u043c\u0435\u0440 38"", ""Price"": ""170"", ""Currency"": ""GEL"", ""Count"": ""1""}, {""Title"": ""\u043f\u0438\u0434\u0436\u0430\u043a Zara \u0440\u0430\u0437\u043c\u0435\u0440 S"", ""Price"": ""170"", ""Currency"": ""GEL"", ""Count"": ""1""}, {""Title"": ""\u0431\u043e\u0434\u0438 Guess \u0440\u0430\u0437\u043c\u0435\u0440 M"", ""Price"": ""100"", ""Currency"": ""GEL"", ""Count"": ""1""}, {""Title"": ""\u0441\u0430\u043f\u043e\u0436\u043a\u0438 \u043d\u0430 \u0446\u0438\u0433\u0435\u0439\u043a\u0435 \u0440\u0430\u0437\u043c\u0435\u0440 39"", ""Price"": ""60"", ""Currency"": ""GEL"", ""Count"": ""1""}]",4
"турнирное платье для спортивных танцев, размер 134, варкетили. цена 120 лари.","[{""Title"": ""\u0442\u0443\u0440\u043d\u0438\u0440\u043d\u043e\u0435 \u043f\u043b\u0430\u0442\u044c\u0435 \u0434\u043b\u044f \u0441\u043f\u043e\u0440\u0442\u0438\u0432\u043d\u044b\u0445 \u0442\u0430\u043d\u0446\u0435\u0432"", ""Price"": ""120"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
"продам аквариум (100x40x30cm.) 
так же прекрасная лампа дневного освящения ,  которая уже установлена и работает в прекрасном режиме ! 
+ тумбочка под аквариум (бесплатно) 
цена - 120€","[{""Title"": ""\u0410\u043a\u0432\u0430\u0440\u0438\u0443\u043c \u0441 \u043b\u0430\u043c\u043f\u043e\u0439 \u0434\u043d\u0435\u0432\u043d\u043e\u0433\u043e \u043e\u0441\u0432\u0435\u0449\u0435\u043d\u0438\u044f \u0438 \u0442\u0443\u043c\u0431\u043e\u0447\u043a\u043e\u0439"", ""Price"": ""120"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"продаю 
70 лари 
забирать в глдани",[],0
"знакомые продают porsche panamera. 
2014 face-lift
движок 3л, v6 дизель
320лс
пробег 140000км
 30к евро

все вопросы в wa или звоните 
+357 94 427574 sid
только английский.","[{""Title"": ""Porsche Panamera, 2014, 3\u043b V6 \u0434\u0438\u0437\u0435\u043b\u044c, 320\u043b\u0441, \u043f\u0440\u043e\u0431\u0435\u0433 140000\u043a\u043c"", ""Price"": ""30000"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"продаю sena smh5-fm, новая, коробку не открывал. в bikealert лежит за 165 eur, отдам за 140 eur.","[{""Title"": ""sena smh5-fm, \u043d\u043e\u0432\u0430\u044f"", ""Price"": ""140"", ""Currency"": ""EUR"", ""Count"": ""1""}]",1
"Плед детский вязаный
Новый
Размер 80х80
Цена 1200 рублей

#БД_детское","[{""Title"": ""\u041f\u043b\u0435\u0434 \u0434\u0435\u0442\u0441\u043a\u0438\u0439 \u0432\u044f\u0437\u0430\u043d\u044b\u0439"", ""Price"": ""1200"", ""Currency"": ""RUB"", ""Count"": ""1""}]",1
"💞💞💞💞💞💞💞💞💞💞💞💞
💥💥Новое поступление💥💥

🌹КОМПЛЕКТ ПОСТЕЛЬНОГО БЕЛЬЯ 
🌹ОТ ФИРМА ""ALOREA""
🌹КАЧЕСТВО ЛЮКС ТКАНЬ 💯 САТИН 
                                                              ХЛОПОК 
🌹ДВУХСТОРОННИЙ А+В  👍👍
🌹ВСЕ НА МОЛНИИ 

.         РАЗМЕР :1.5
🌹ПОДОДЕЯЛЬНИК.  150×220см. ( 1 )
🌹ПРОСТЫНЯ.             150×220 ( 1 )
🌹НАВОЛОЧКА.      70Х70.       ( 2 )
🌹ЦЕНА ЗА ШТУКУ 1150₽

           РАЗМЕР : 2 КА
🌹ПОДОДЕЯЛЬНИК.   180×220.  ( 1 )
🌹ПРОСТЫНЯ   200×220  см ( 1 )
🌹НАВОЛОЧКА 70Х70.  ( 2 )
🌹ЦЕНА ЗА ШТУК 1400₽

            РАЗМЕР : ЕВРО 
🌹ПОДОДЕЯЛЬНИК    200×220 ( 1 )
🌹ПРОСТЫНЯ 220×240 см ( 1 )
🌹НАВОЛОЧКА 50×70 см  ( 2 )
🌹НАВОЛОЧКА  70Х70 см  ( 2 )
🌹ЦЕНА ЗА ШТУК 1500₽

           РАЗМЕР  :  СЕМЕЙНЫЙ 
🌹ПОДОДЕЯЛЬНИК  150×220 см  ( 2 )
🌹ПРОСТЫНЯ   220×240 см  ( 1 )
🌹НАВОЛОЧКА 50×70 см.    ( 2 )
🌹НАВОЛОЧКА 70Х70 си.    ( 2 )
🌹ЦЕНА ЗА ШТУК 1650₽
          
🌹РЕКОМЕНДАЦИИ ПО УХОДУ:
🌹СТИРКА ПРИ 40°С, БЕЗ ИСПОЛЬЗОВАНИЯ ХЛОРА. ОТЖИМ ПРОИЗВОЛЬНЫЙ. 
🌹ГЛАДИТЬ НА ВТОРОМ УРОВНЕ 
.                                                                                                     ПРИ СТИРКЕ НЕ ИСПОЛЬЗОВАТЬ СРЕДСТВО СОДЕРЖАЩИЕ ОТБЕЛИВАТЕЛИ ХЛОР.
                                   

🌹WhatsApp для получении информации 8 902 994 88 88 

ПО АДРЕСУ 2A-54 КОРПУС А
Подробнее на https://vk.com/wall488363770_21076","[{""Title"": ""\u041a\u043e\u043c\u043f\u043b\u0435\u043a\u0442 \u043f\u043e\u0441\u0442\u0435\u043b\u044c\u043d\u043e\u0433\u043e \u0431\u0435\u043b\u044c\u044f \u0440\u0430\u0437\u043c\u0435\u0440 \u0415\u0412\u0420\u041e \u043e\u0442 ALOREA"", ""Price"": ""1500"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041a\u043e\u043c\u043f\u043b\u0435\u043a\u0442 \u043f\u043e\u0441\u0442\u0435\u043b\u044c\u043d\u043e\u0433\u043e \u0431\u0435\u043b\u044c\u044f \u0440\u0430\u0437\u043c\u0435\u0440 2 \u041a\u0410 \u043e\u0442 ALOREA"", ""Price"": ""1400"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041a\u043e\u043c\u043f\u043b\u0435\u043a\u0442 \u043f\u043e\u0441\u0442\u0435\u043b\u044c\u043d\u043e\u0433\u043e \u0431\u0435\u043b\u044c\u044f \u0440\u0430\u0437\u043c\u0435\u0440 \u0441\u0435\u043c\u0435\u0439\u043d\u044b\u0439 \u043e\u0442 ALOREA"", ""Price"": ""1650"", ""Currency"": ""RUB"", ""Count"": ""1""}, {""Title"": ""\u041a\u043e\u043c\u043f\u043b\u0435\u043a\u0442 \u043f\u043e\u0441\u0442\u0435\u043b\u044c\u043d\u043e\u0433\u043e \u0431\u0435\u043b\u044c\u044f \u0440\u0430\u0437\u043c\u0435\u0440 1.5 \u043e\u0442 ALOREA"", ""Price"": ""1150"", ""Currency"": ""RUB"", ""Count"": ""1""}]",4
"продам компьютер. 
цена: 2600 лари

mboard: biostar b450mh rev. 6.1
cpu: amd ryzen 7 3700х 8 cores/16 threads/ 3.6-4.4ghz
cooler: xilence xc025
ram: 2x8gb 3400mhz 2rank 
graphic card: palit gamingpro rtx 3070ti 
ssd: kingston a400 256gb
power supply: chieftec eco-series (silent) 600w
case: deepcool ch370 white (на магнитах, стекло, есть крюк для наушников)","[{""Title"": ""\u041a\u043e\u043c\u043f\u043b\u0435\u043a\u0442\u0443\u044e\u0449\u0438\u0435 \u043a\u043e\u043c\u043f\u044c\u044e\u0442\u0435\u0440\u0430"", ""Price"": ""2600"", ""Currency"": ""GEL"", ""Count"": ""1""}]",1
