Unnamed: 0,Text,WallId,PostId,Source,Title,Price,Currency,Count,Label_gpt,Comment_gpt
0,"1. монитор, 250 лари
2. мольберт, 50 лари
3. топор 15 лари
4. трансмиттеры, 30 лари
5. лампы led,  диоды самсунг, 200 вт, 350 лари за обе
6. рюкзак, 40 литров, идеальное состояние, 100 лари",1332882905,686748,tg,"рюкзак, 40 литров, идеальное состояние",100,лари,1,valid,"The offer includes a backpack bundle that matches the description in count, price, and currency."
1,"#БНИ_ПродамБУ_Москва
#БНИ_ПродамНовая_Москва
#БНИ_Авито #БНИ_Почта #БНИ_Сберлогистика
#БНИ_fizximik

Все вопросы/предложения/Торг в лс. 
Кто не может написать через мобильную версию Вк - пишите через основную в браузере. 

22000 Wonderland War Deluxe. Вскрыта. 

35000 Fief Ks (база+здания+Саладин+лорды+промо+Плеймат)
Новые, в пленке. Лот бьется, в лс. 

60000 База (немецкая, Сандроп, в пленке)+Burgundy Terrain Sundrop+Acrylic Hexes (есть в пленке и без)+Плеймат. 
Вскрыт террейн: повреждена чуть крышка коробки.

26000 Street Fighter (база, стретчи, доп). В двух коробках

30000 Mosaic Colossus edition 

21000 Hoplomachus. Версия с предзаказа. Без пленки",-114967596,592027,vk,"Street Fighter (база, стретчи, доп)",26000,RUB,1,valid,"The offer clearly describes the bundle's contents, count, price, and currency, making it verifiable and understandable."
2,"Продам стульчик для кормления Happy baby. В хорошем состоянии. 
✅ съёмный поднос
✅ сетка для игрушек
✅ регулируемая спинка
✅ регулируемое сиденье по высоте
✅съёмный чехол для сиденья 
✅5-ти точечные ремни
Из минусов: сломана подножка.

Всё помыто и постирано. Готово к использованию. 

3 000 руб.

#детское",-82544098,661957,vk,Стульчик для кормления Happy baby,3000,RUB,1,valid,"The offer clearly describes a single feeding chair including its condition, features, and price, matching the bundle description."
3,"Продаю компьютер Цена 55000 Все почти новое ,есть чеки и коробки от комплектующих. Характеристики: ⚙️Материнская плата - GIGABYTE B450M H ⚙️Процессор - AMD Ryzen 5 3600 ⚙️Видеокарта - GIGABYTE RADEON RX 580 на 8 GB ⚙️Оперативная память - KINGSTON FYRY 16 GB (2x8GB) DDR4 2666 МГц ⚙️SSD Kingston 480 GB SSD GIGABYTE 120 GB ⚙️Блок питания - SYSTEM POWER 9 500W ⚙️Кулер для процессора - DeepCool ICE BLADE 100 ⚙️Корпус AeroCool с подстветкой Так же к компьютеру: - Монитор. Диагональ 27 «есть дефект ,полоса на экране , на работоспособность не влияет» - Игровая мышка от Logitech, игровая клавиатура MSI, наушники Logitech G435 , коврик и колонки - Продаю компьютер брата, по причине переезда",-90442795,353383,vk,Компьютер с комплектующими и аксессуарами,55000,RUB,1,valid,The offer clearly describes a computer with components and accessories bundled together for a specific price.
4,"Новинка сезона 
Качество очень хорошее 
Цена за шт 2000₽
Размер 50 52 54 56 58
Размер в размер идут
Подробнее на https://vk.com/wall488363770_23767",-192083416,15466,vk,Новинка сезона,2000,RUB,1,invalid,"The OFFER lacks detailed product information, requiring external context for verification."
5,"продам часы galaxy watch
покупали на амазоне, часам меньше года.
в очень хорошем состоянии 
в подарок стальной ремешок с замком бабочка 

200€",1121942433,119858,tg,часы galaxy watch с стальным ремешком,200,EUR,1,valid,The offer clearly describes the bundle including the Galaxy Watch with a steel strap at the stated price and currency.
6,"✅Ура Подушка  Лебеди  пух 
✅ткань тик 
✅Размер 70х70см цена за штуку 300
✅Размер 50х70см цена за штук 250
✅Размер 70х70 цена упаковка 2600 (10×260) 
✅Размер 50х70 цена упаковка 2300 (10×230) 
Рынок садовод ТЦ 2А-54 КОРПУС А
Тел 8 926 723 07 20
Подробнее на https://vk.com/wall488363770_23106",-192083416,14848,vk,Упаковка подушек Лебеди пух ткань тик 70х70см,2600,RUB,10,valid,"The offer clearly specifies a bundle of 10 pillows size 70x70cm with a price of 2600 RUB, matching the description."
7,"Личная встреча 
м. Речной вокзал
 
✔ Юстейн Гордер - Апельсиновая девушка ➤ 200
 ""Апельсиновая Девушка"" - это своеобразная книга в книге, ибо рассказ в ней ведут два человека. Мальчик Георг слышит голос своего отца спустя одиннадцать лет после его смерти... 
 
✔ Бенджамин Леберт – Crazy ➤ 200
В своем автобиографическом романе шестнадцатилетний Бенджамин Леберт с удивительной теплотой, большим чувством юмора и изрядной долей иронии рассказывает о трудностях взросления. Это первое произведение молодого автора.
 
✔ Януш Вишневский - Молекулы эмоций ➤ 100
 
✔ Фредерик Бегбедер - 99 франков ➤ 100
Книга «99 франков» представляет собой остроумную сатиру на рекламный бизнес, дерзкое разоблачение безумного и полного превратностей мира, в котором все презирают друг друга, где бездарно растрачиваются человеческие ресурсы...
 
✔ Владимир Гиляровский - Москва и москвичи ➤ 100
✔ Шарлотта Роган - Шлюпка ➤ 200 Нечитанная",-48332904,746702,vk,Владимир Гиляровский - Москва и москвичи,100,RUB,1,valid,"The bundle matches the offer with clear details, including title, count, and price in the specified currency."
8,"Картридж для какого-то принтера: 500 рублей 

Весы с точностью +- 0.5 кг: 100 рублей

Забирать в 11ке",-177461486,40599,vk,Весы,100,RUB,1,valid,"The product bundle (Весы) is specified with clear details about the item, count, price, and currency."
9,"- кофеварка капельная, 300р или большая милка. - магнитола Mystery, светится разными цветами, 800р. - красные динамики 600р за оба. - советские динамики, 500р за штуку. - нч динамик под ремонт и запчасти за вашу цену. - телефон 500р. - подголовники ВАЗ 2115 500р. - аккумулятор 800р.",-90442795,350946,vk,телефон,500,RUB,1,valid,"The bundle includes a single 'телефон' with sufficient detail, matching the provided description and price."
