Text,WallId,PostId,Source,GptResponse
"б/у:
∙ сумка дорожная на колесах (~высота 70см, глубина 40см, ширина 39см) - 60 лари.

∙ рюкзак kanken classic, цвет fog, оригинал - 60 лари.

∙ женская куртка оверсайз incity, размер m - 50 лари.

∙ батарея (аккумулятор) пустышка для камер sony (a5100, a6500, a6400, a6000, a7, rx10 и др., за полным списком подходящих камер в лс) - 50 лари.

∙ комплект штативов с креплением к столу vijim. минимальная высота 40см, максимальная 100см. - 60 лари.",1332882905,570967,tg,"{
  ""place"": null,
  ""bundles"": [
    {
      ""name"": ""сумка дорожная на колесах"",
      ""quantity"": ""1"",
      ""price"": 60,
      ""currency"": ""GEL""
    },
    {
      ""name"": ""рюкзак kanken classic, цвет fog, оригинал"",
      ""quantity"": ""1"",
      ""price"": 60,
      ""currency"": ""GEL""
    },
    {
      ""name"": ""женская куртка оверсайз incity, размер m"",
      ""quantity"": ""1"",
      ""price"": 50,
      ""currency"": ""GEL""
    },
    {
      ""name"": ""батарея (аккумулятор) пустышка для камер sony"",
      ""quantity"": ""1"",
      ""price"": 50,
      ""currency"": ""GEL""
    },
    {
      ""name"": ""комплект штативов с креплением к столу vijim"",
      ""quantity"": ""1"",
      ""price"": 60,
      ""currency"": ""GEL""
    }
  ]
}"
"davines - мусс-объем 
this is a volume boosting mousse

20 лари
вера",1332882905,618057,tg,"{
  ""place"": ""вера"",
  ""bundles"": [
    {
      ""name"": ""davines мусс-объем"",
      ""quantity"": ""1"",
      ""price"": 20,
      ""currency"": ""GEL""
    }
  ]
}"
"👌Новая поступления  🥳🥳🥳
.     tencel 
     Цена по ниже 
 Простыня на резинке
💢Ткань- Трикотаж 
💢Состав-100% хлопок 
💢Высота борта -20см
✨✨✨✨✨✨✨✨✨✨
▫️Размер:👇   цена 👇
✅80Х200  см- 300    
✅90Х200  см - 320₽🔥
✅120х200см -  340₽🔥
✅140х200см -  360₽🔥
✅160х200см -  370₽🔥
✅180х200см -  400₽🔥
✅200х200см -  450₽🔥
 ➡️У нас можно бронь 💫
Подробнее на https://vk.com/wall488363770_21836",-192083416,13589,vk,"{
  ""place"": ""https://vk.com/wall488363770_21836"",
  ""bundles"": [
    {
      ""name"": ""Простыня на резинке Трикотаж 100% хлопок 80х200 см"",
      ""quantity"": ""1"",
      ""price"": 300,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Простыня на резинке Трикотаж 100% хлопок 90х200 см"",
      ""quantity"": ""1"",
      ""price"": 320,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Простыня на резинке Трикотаж 100% хлопок 120х200 см"",
      ""quantity"": ""1"",
      ""price"": 340,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Простыня на резинке Трикотаж 100% хлопок 140х200 см"",
      ""quantity"": ""1"",
      ""price"": 360,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Простыня на резинке Трикотаж 100% хлопок 160х200 см"",
      ""quantity"": ""1"",
      ""price"": 370,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Простыня на резинке Трикотаж 100% хлопок 180х200 см"",
      ""quantity"": ""1"",
      ""price"": 400,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Простыня на резинке Трикотаж 100% хлопок 200х200 см"",
      ""quantity"": ""1"",
      ""price"": 450,
      ""currency"": ""RUB""
    }
  ]
}"
"клининг/фея чистоты/ уборка 🧚
офис, квартира, вилла, терраса, територия дома, любое другое помещение, мытья окон. 
предоставляем так же, если нужно свои моющие средства.
объем берём от 3 часов и больше.💪 
геолокация : 🌏  по маршруту автобусов 711,424,425,101,102, 501,502,704,705.
ларнака,пила, декелия, орлокини , айя-напа, протарас, паралимни, каппарис. 🌴🇨🇾
обращайте в личку 🙏❤️",1121942433,400700,tg,"{
  ""place"": ""по маршруту автобусов 711, 424, 425, 101, 102, 501, 502, 704, 705; ларнака, пила, декелия, орлокини, айя-напа, протарас, паралимни, каппарис"",
  ""bundles"": []
}"
"Распродажа 
Цена: 550р шт 
Размер: 41.42.43.44.45.46
Без выбора
Арт: 2Д-80 Корпус Б  https://vk.com/club208847662",-206817857,82815,vk,"{
  ""place"": null,
  ""bundles"": []
}"
"Продается из 12-ки :
1) Баскетбольные кроссовки Adidas Dame 4: 9,5 us 28cm по бирке, но по факту 10us, 28,5cm. На носке протектор начал стираться, и они чутка грязные, в остальном ок — 1000р
2) Кроссовки adidas yung 96 размер тот же что и выше, также большемерят. На правом кроссовке колпачки шнурков слетели и на носке дырочка (чинится за 200р). — 1000р
3) Рюкзак Тинькофф новый — 800р
4) Коврик для йоги нераспакованный — 300р
5) Набор для мяса: мангал, шампуры, решетка, жидкость для розжига, специи для мяса, спички, зажигалка. Если хотите что-то отдельно купить — предлагайте цену, все вместе — 1500р
6) Гладильная доска 9/10 — 400р
7) Капсульная кофемашина NesCafe грязная — 500р
8) Маркерная доска напольная грязная — 300р
9) Комод из Hoff 94/78/46— 3500р",-177461486,46549,vk,"{
  ""place"": ""Из 12-ки"",
  ""bundles"": [
    {
      ""name"": ""Баскетбольные кроссовки Adidas Dame 4"",
      ""quantity"": ""1"",
      ""price"": 1000,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Кроссовки adidas yung 96"",
      ""quantity"": ""1"",
      ""price"": 1000,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Рюкзак Тинькофф новый"",
      ""quantity"": ""1"",
      ""price"": 800,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Коврик для йоги нераспакованный"",
      ""quantity"": ""1"",
      ""price"": 300,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Набор для мяса (мангал, шампуры, решетка, жидкость для розжига, специи для мяса, спички, зажигалка)"",
      ""quantity"": ""1"",
      ""price"": 1500,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Гладильная доска"",
      ""quantity"": ""1"",
      ""price"": 400,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Капсульная кофемашина NesCafe"",
      ""quantity"": ""1"",
      ""price"": 500,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Маркерная доска напольная"",
      ""quantity"": ""1"",
      ""price"": 300,
      ""currency"": ""RUB""
    },
    {
      ""name"": ""Комод из Hoff"",
      ""quantity"": ""1"",
      ""price"": 3500,
      ""currency"": ""RUB""
    }
  ]
}"
"Отдам стенку за символическую сумму 1000 тыс руб.
Только самовывоз.

#мебель",-82544098,662373,vk,"{
  ""place"": ""Только самовывоз"",
  ""bundles"": [
    {
      ""name"": ""Стенка"",
      ""quantity"": ""1"",
      ""price"": 1000000,
      ""currency"": ""RUB""
    }
  ]
}"
"продаю дрон dji mini 2, полный комплект+линзы. куплен в официальном магазине dji в шанхае (есть все документы и чек о покупке), использовался очень редко, состояние-идеальное, сдувала пылинки. продаю только по причине того, что ввоз в беларусь сейчас запрещен.
цена: 480$",1332882905,819796,tg,"{
  ""place"": ""Шанхай"",
  ""bundles"": [
    {
      ""name"": ""Дрон DJI Mini 2, полный комплект + линзы"",
      ""quantity"": ""1"",
      ""price"": 480,
      ""currency"": ""USD""
    }
  ]
}"
"продам отличные куртки в идеальном состоянии по 100 gel:
-maya maya gore-tex, m-l, unisex 
-женская berghaus gore-tex , m-l
-salewa power-tex, m-l, unisex

район филармонии, есть зеркало и где померить)",1332882905,734809,tg,"{
  ""place"": ""район филармонии"",
  ""bundles"": [
    {
      ""name"": ""куртка Maya Maya Gore-Tex, размер M-L, unisex"",
      ""quantity"": ""1"",
      ""price"": 100,
      ""currency"": ""GEL""
    },
    {
      ""name"": ""женская куртка Berghaus Gore-Tex, размер M-L"",
      ""quantity"": ""1"",
      ""price"": 100,
      ""currency"": ""GEL""
    },
    {
      ""name"": ""куртка Salewa Power-Tex, размер M-L, unisex"",
      ""quantity"": ""1"",
      ""price"": 100,
      ""currency"": ""GEL""
    }
  ]
}"
"монитор philips без подставки
ларнака
60€
торг уместен",1121942433,392422,tg,"{
  ""place"": ""ларнака"",
  ""bundles"": [
    {
      ""name"": ""монитор philips без подставки"",
      ""quantity"": ""1"",
      ""price"": 60,
      ""currency"": ""EUR""
    }
  ]
}"
