,Text,Id
0,"деревянная статуэтка 4000 рублей
игра 400 рублей 
кеды 36 размера 1500 рублей","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7467}"
1,"автокресло britax romer от 6 месяцев до 9 лет  -10.000

isofix, спинка наколняется , ремни все сохранились. постиран чехол. (покупали за 35.000, все супер, после 1го ребенка) 

самовывоз привольная","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7464}"
2,"перчатки christian dior кожаные 8500
(на одной перчатке зацепка, носке не мешает) 

привольная","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7460}"
3,"сервиз чайная роза гдр -5500, 
кофейный сервиз 1800 гдр 

самовывоз привольная.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7455}"
4,"сумка moschino винтаж -20.000 

забирать на привольной","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7454}"
5,"продам телевизор mystery, модель mtv-1922lw. жк, 720p hd, диагональ 19"" (48 см), hdmi, usb, тип подсветки edge led, есть не значительный дефект в правом нижнем углу в виде темного пятна, 1000₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7453}"
6,"шапка-шлем мужская finn flare.
материал: натуральная овчина. 
отделка: искусственная кожа.
производство: финляндия.
размер по ярлыку: 58 (xxl).
в отличном состоянии.
цена 5000 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7447}"
7,"парфюм мужской parfums genty.
производство: россия.
men's fashion black label
100 ml
флакон новый, запечатанный.
в торговой продаже отсутствуют, так как сняты с производства.
цена 1000 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7443}"
8,"1. «искусство древнего мира». дмитриева н.а., виноградова н.а.
издание 2-ое. 
детская литература, москва, 1989.
очерки о первобытном искусстве, искусстве древнего египта, передней азии, древней индии и древнего китая. 
цена 1000 руб.
2. «история петра великого» а.с.чистяков. 
репринтное издание. 
москва, 1989. 
язык издания: старорусский. цена 1500 руб.
3. «лососи, бобры, каланы» жак-ив кусто и ив паккале. 
гидрометеоиздат, ленинград, 1983. 
напечатана в праге.
цена 1500 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7437}"
9,"«лососи, бобры, каланы».
книга жака-ива кусто и ива паккале. 
«лососи, бобры, каланы». 
издательство: гидрометеоиздат, ленинград, 1983. 
твердый переплет, увеличенный формат, мелованная бумага, 285 стр.
напечатана в праге.
букинистическое издание.
в отличном состоянии.
цена 1500 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7430}"
10,"перчатки женские трикотажные новые.
производство: россия.
материал: трикотаж с начёсом внутри.
состав: 70% хлопок, 30% акрил.
отделка бисером, защипами.
цвет: черный.
размер: 8,5.
новые, с бирками.
в отличном состоянии.
цена 500 руб.","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7428}"
11,"игрушки ручной работы , новые 
2в1 пижамница мишка 1490
пчелка 1990
балаклавы 1299
гномы 1799","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7427}"
12,"автомобильный держатель deppa crab mini для смартфонов 3.5""-5.7"", на стекло или приборную панель, для смартфонов с диагональю экрана от 3.5 до 5.7 дюймов (ширина корпуса до 8 см)
раздвижная часть держателя от 5 см до 8 см
присоска ø5,8 см
возможность поворота вашего устройства на 360°, 300₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7418}"
13,"гладильная доска с euro подставкой под утюг и съемным подрукавником, встроенной розеткой и электросоединителем 2,15м, два положения высоты 70/85см, поверхность 1225х345мм, 1000₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7416}"
14,"роутер tp-link n300, 500₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7415}"
15,"продам телевизор supra, модель: stv-lc2222wd, жк, 1080p full hd, диагональ 22"" (55 см), hdmi, usb, 3000₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7414}"
16,"продаю новогодний венок, 35 см, полностью ручная работа 
2600 р
есть петля для крепления на стену или дверь
писать в личные сообщения @paradofcon","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7410}"
17,"новый 1,5 спальный комплект постельного белья, сатин, 1000₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7408}"
18,"новый двух спальный комплект постельного белья, полисатин, 1000₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7406}"
19,"новый двух спальный комплект постельного белья, бязь, 1000₽","{'platform': 'telegram', 'wall_id': 1525972822, 'post_id': 7403}"
